date,rainfall_mm
2005-03-01,1.22
2005-04-01,5.19
2005-05-01,3.24
2005-06-01,0.19
2005-07-01,0.09
2005-08-01,0.23
2005-09-01,0.57
2005-10-01,0.52
2005-11-01,0.48
2005-12-01,0.0
2006-01-01,0.05
2006-02-01,0.23
2006-03-01,1.05
2006-04-01,3.17
2006-05-01,1.86
2006-06-01,0.34
2006-07-01,0.61
2006-08-01,0.81
2006-09-01,0.96
2006-10-01,4.56
2006-11-01,1.52
2006-12-01,0.86
2007-01-01,0.01
2007-02-01,0.12
2007-03-01,0.35
2007-04-01,2.51
2007-05-01,1.8
2007-06-01,0.79
2007-07-01,0.19
2007-08-01,0.31
2007-09-01,0.57
2007-10-01,1.51
2007-11-01,2.27
2007-12-01,0.0
2008-01-01,0.02
2008-02-01,0.0
2008-03-01,0.04
2008-04-01,5.91
2008-05-01,0.37
2008-06-01,0.24
2008-07-01,0.35
2008-08-01,0.38
2008-09-01,0.4
2008-10-01,4.27
2008-11-01,3.03
2008-12-01,0.0
2009-01-01,0.18
2009-02-01,0.09
2009-03-01,0.19
2009-04-01,3.15
2009-05-01,0.54
2009-06-01,0.36
2009-07-01,0.15
2009-08-01,0.12
2009-09-01,0.56
2009-10-01,4.68
2009-11-01,0.66
2009-12-01,0.09
2010-01-01,0.0
2010-02-01,1.76
2010-03-01,2.5
2010-04-01,6.88
2010-05-01,1.24
2010-06-01,1.69
2010-07-01,0.3
2010-08-01,1.1
2010-09-01,0.9
2010-10-01,0.77
2010-11-01,0.04
2010-12-01,0.0
2011-01-01,0.02
2011-02-01,0.0
2011-03-01,0.07
2011-04-01,5.87
2011-05-01,2.07
2011-06-01,0.17
2011-07-01,0.1
2011-08-01,0.04
2011-09-01,0.14
2011-10-01,5.85
2011-11-01,5.02
2011-12-01,0.02
2012-01-01,0.01
2012-02-01,0.0
2012-03-01,0.01
2012-04-01,8.47
2012-05-01,2.47
2012-06-01,0.34
2012-07-01,0.24
2012-08-01,2.9
2012-09-01,2.51
2012-10-01,2.07
2012-11-01,0.98
2012-12-01,0.05
2013-01-01,0.06
2013-02-01,0.0
2013-03-01,3.31
2013-04-01,9.58
2013-05-01,1.64
2013-06-01,0.11
2013-07-01,0.36
2013-08-01,0.25
2013-09-01,0.48
2013-10-01,1.29
2013-11-01,7.38
2013-12-01,0.0
2014-01-01,0.0
2014-02-01,0.02
2014-03-01,0.56
2014-04-01,4.58
2014-05-01,2.21
2014-06-01,0.17
2014-07-01,0.22
2014-08-01,0.27
2014-09-01,1.7
2014-10-01,7.07
2014-11-01,1.32
2014-12-01,0.59
2015-01-01,0.0
2015-02-01,0.0
2015-03-01,0.96
2015-04-01,4.42
2015-05-01,5.4
2015-06-01,0.9
2015-07-01,0.88
2015-08-01,0.95
2015-09-01,0.28
2015-10-01,4.6
2015-11-01,9.47
2015-12-01,0.4
2016-01-01,0.14
2016-02-01,0.03
2016-03-01,0.42
2016-04-01,6.89
2016-05-01,2.1
2016-06-01,0.25
2016-07-01,0.23
2016-08-01,0.27
2016-09-01,0.29
2016-10-01,0.45
2016-11-01,0.15
2016-12-01,0.26
2017-01-01,0.0
2017-02-01,0.02
2017-03-01,0.4
2017-04-01,1.63
2017-05-01,1.56
2017-06-01,0.45
2017-07-01,0.17
2017-08-01,0.24
2017-09-01,0.8
2017-10-01,1.44
2017-11-01,1.15
2017-12-01,0.0
2018-01-01,0.0
2018-02-01,0.2
2018-03-01,1.23
2018-04-01,6.47
2018-05-01,1.06
2018-06-01,0.71
2018-07-01,0.2
2018-08-01,0.55
2018-09-01,1.73
2018-10-01,1.53
2018-11-01,1.15
2018-12-01,0.0
2019-01-01,0.0
2019-02-01,0.01
2019-03-01,0.02
2019-04-01,0.97
2019-05-01,1.71
2019-06-01,2.95
2019-07-01,0.03
2019-08-01,0.4
2019-09-01,1.09
2019-10-01,6.24
2019-11-01,1.21
2019-12-01,1.11
2020-01-01,0.02
2020-02-01,0.01
2020-03-01,0.61
2020-04-01,8.84
2020-05-01,3.8
2020-06-01,0.53
2020-07-01,0.41
2020-08-01,0.44
2020-09-01,1.09
2020-10-01,2.5
2020-11-01,5.3
2020-12-01,0.14
2021-01-01,0.1
2021-02-01,0.02
2021-03-01,0.15
2021-04-01,3.49
2021-05-01,6.55
2021-06-01,0.41
2021-07-01,0.45
2021-08-01,0.62
2021-09-01,1.04
2021-10-01,0.91
2021-11-01,3.12
2021-12-01,0.07
2022-01-01,0.1
2022-02-01,0.0
2022-03-01,0.09
2022-04-01,8.54
2022-05-01,1.62
2022-06-01,0.45
2022-07-01,0.49
2022-08-01,0.33
2022-09-01,0.24
2022-10-01,1.69
2022-11-01,0.45
2022-12-01,0.09
2023-01-01,0.07
2023-02-01,0.08
2023-03-01,3.0
2023-04-01,6.41
2023-05-01,4.64
2023-06-01,1.81
2023-07-01,0.37
2023-08-01,0.63
2023-09-01,0.39
2023-10-01,10.66
2023-11-01,7.61
2023-12-01,0.06
2024-01-01,0.0
2024-02-01,0.07
2024-03-01,0.1
2024-04-01,3.83
2024-05-01,5.59
2024-06-01,1.14
2024-07-01,0.56
2024-08-01,0.57
2024-09-01,0.29
2024-10-01,3.59
2024-11-01,1.54
2024-12-01,0.01
