date,rainfall_mm
2005-03-01,1.85
2005-04-01,5.18
2005-05-01,4.95
2005-06-01,0.41
2005-07-01,1.56
2005-08-01,1.84
2005-09-01,1.48
2005-10-01,0.28
2005-11-01,0.34
2005-12-01,0.0
2006-01-01,0.14
2006-02-01,1.4
2006-03-01,2.95
2006-04-01,2.88
2006-05-01,1.71
2006-06-01,1.18
2006-07-01,4.65
2006-08-01,4.58
2006-09-01,3.45
2006-10-01,1.67
2006-11-01,0.1
2006-12-01,1.13
2007-01-01,0.09
2007-02-01,1.33
2007-03-01,1.65
2007-04-01,5.93
2007-05-01,2.96
2007-06-01,0.66
2007-07-01,4.1
2007-08-01,4.51
2007-09-01,4.09
2007-10-01,1.04
2007-11-01,0.34
2007-12-01,0.0
2008-01-01,0.16
2008-02-01,0.07
2008-03-01,0.06
2008-04-01,3.75
2008-05-01,1.93
2008-06-01,1.08
2008-07-01,6.2
2008-08-01,6.87
2008-09-01,1.95
2008-10-01,1.41
2008-11-01,2.27
2008-12-01,0.01
2009-01-01,0.57
2009-02-01,0.26
2009-03-01,0.91
2009-04-01,2.59
2009-05-01,0.5
2009-06-01,2.91
2009-07-01,4.1
2009-08-01,3.03
2009-09-01,1.93
2009-10-01,2.67
2009-11-01,0.13
2009-12-01,0.46
2010-01-01,0.0
2010-02-01,2.46
2010-03-01,2.79
2010-04-01,4.44
2010-05-01,3.46
2010-06-01,3.18
2010-07-01,6.17
2010-08-01,7.2
2010-09-01,6.1
2010-10-01,0.21
2010-11-01,0.57
2010-12-01,0.11
2011-01-01,0.02
2011-02-01,0.03
2011-03-01,0.98
2011-04-01,2.95
2011-05-01,3.18
2011-06-01,0.85
2011-07-01,2.59
2011-08-01,1.98
2011-09-01,1.51
2011-10-01,0.29
2011-11-01,0.45
2011-12-01,0.01
2012-01-01,0.01
2012-02-01,0.0
2012-03-01,0.07
2012-04-01,2.97
2012-05-01,1.38
2012-06-01,1.07
2012-07-01,3.63
2012-08-01,6.73
2012-09-01,3.96
2012-10-01,0.13
2012-11-01,0.15
2012-12-01,0.07
2013-01-01,0.43
2013-02-01,0.0
2013-03-01,2.23
2013-04-01,4.51
2013-05-01,1.76
2013-06-01,0.9
2013-07-01,7.75
2013-08-01,5.82
2013-09-01,3.31
2013-10-01,2.6
2013-11-01,2.09
2013-12-01,0.05
2014-01-01,0.01
2014-02-01,0.4
2014-03-01,1.77
2014-04-01,2.16
2014-05-01,2.7
2014-06-01,0.83
2014-07-01,5.11
2014-08-01,3.56
2014-09-01,7.3
2014-10-01,2.5
2014-11-01,0.28
2014-12-01,0.26
2015-01-01,0.12
2015-02-01,0.0
2015-03-01,0.91
2015-04-01,0.47
2015-05-01,5.68
2015-06-01,2.63
2015-07-01,1.39
2015-08-01,5.74
2015-09-01,1.31
2015-10-01,0.49
2015-11-01,1.74
2015-12-01,0.26
2016-01-01,0.87
2016-02-01,0.32
2016-03-01,1.1
2016-04-01,8.62
2016-05-01,8.36
2016-06-01,1.05
2016-07-01,4.22
2016-08-01,5.8
2016-09-01,3.09
2016-10-01,0.53
2016-11-01,0.41
2016-12-01,0.27
2017-01-01,0.0
2017-02-01,0.91
2017-03-01,2.53
2017-04-01,1.1
2017-05-01,6.13
2017-06-01,1.42
2017-07-01,3.86
2017-08-01,4.42
2017-09-01,4.72
2017-10-01,0.37
2017-11-01,0.09
2017-12-01,0.0
2018-01-01,0.0
2018-02-01,0.82
2018-03-01,0.6
2018-04-01,6.96
2018-05-01,1.83
2018-06-01,1.66
2018-07-01,3.52
2018-08-01,5.46
2018-09-01,2.3
2018-10-01,1.73
2018-11-01,1.5
2018-12-01,0.0
2019-01-01,0.0
2019-02-01,0.1
2019-03-01,1.06
2019-04-01,3.04
2019-05-01,1.28
2019-06-01,6.11
2019-07-01,1.55
2019-08-01,6.53
2019-09-01,9.56
2019-10-01,6.09
2019-11-01,1.59
2019-12-01,1.27
2020-01-01,0.27
2020-02-01,0.25
2020-03-01,2.3
2020-04-01,9.15
2020-05-01,2.63
2020-06-01,2.67
2020-07-01,4.91
2020-08-01,4.42
2020-09-01,9.04
2020-10-01,0.29
2020-11-01,1.32
2020-12-01,0.8
2021-01-01,0.67
2021-02-01,0.33
2021-03-01,0.02
2021-04-01,4.09
2021-05-01,4.04
2021-06-01,0.84
2021-07-01,5.98
2021-08-01,7.64
2021-09-01,7.94
2021-10-01,1.5
2021-11-01,0.86
2021-12-01,0.7
2022-01-01,0.6
2022-02-01,0.14
2022-03-01,0.67
2022-04-01,2.68
2022-05-01,0.41
2022-06-01,2.03
2022-07-01,4.64
2022-08-01,3.64
2022-09-01,2.25
2022-10-01,0.68
2022-11-01,0.34
2022-12-01,0.4
2023-01-01,0.07
2023-02-01,0.86
2023-03-01,5.54
2023-04-01,14.53
2023-05-01,5.92
2023-06-01,3.18
2023-07-01,2.74
2023-08-01,4.85
2023-09-01,3.16
2023-10-01,5.01
2023-11-01,3.39
2023-12-01,0.05
2024-01-01,0.16
2024-02-01,0.56
2024-03-01,1.59
2024-04-01,7.02
2024-05-01,1.4
2024-06-01,2.89
2024-07-01,11.01
2024-08-01,9.0
2024-09-01,3.57
2024-10-01,3.03
2024-11-01,0.51
2024-12-01,0.01
