date,rainfall_mm
2005-03-01,2.34
2005-04-01,5.18
2005-05-01,6.28
2005-06-01,1.26
2005-07-01,4.93
2005-08-01,4.22
2005-09-01,2.54
2005-10-01,1.38
2005-11-01,0.39
2005-12-01,0.01
2006-01-01,1.07
2006-02-01,3.48
2006-03-01,4.29
2006-04-01,4.95
2006-05-01,3.42
2006-06-01,4.68
2006-07-01,10.47
2006-08-01,6.04
2006-09-01,5.44
2006-10-01,3.09
2006-11-01,0.64
2006-12-01,0.62
2007-01-01,1.29
2007-02-01,2.11
2007-03-01,2.38
2007-04-01,3.83
2007-05-01,5.73
2007-06-01,3.5
2007-07-01,7.46
2007-08-01,8.47
2007-09-01,7.37
2007-10-01,1.34
2007-11-01,0.65
2007-12-01,0.0
2008-01-01,0.2
2008-02-01,0.27
2008-03-01,0.51
2008-04-01,3.85
2008-05-01,2.02
2008-06-01,2.65
2008-07-01,8.07
2008-08-01,8.48
2008-09-01,6.49
2008-10-01,4.12
2008-11-01,4.16
2008-12-01,0.08
2009-01-01,1.09
2009-02-01,0.14
2009-03-01,1.33
2009-04-01,3.02
2009-05-01,2.78
2009-06-01,3.32
2009-07-01,7.16
2009-08-01,5.89
2009-09-01,4.46
2009-10-01,4.21
2009-11-01,0.25
2009-12-01,1.94
2010-01-01,0.14
2010-02-01,3.22
2010-03-01,2.96
2010-04-01,5.62
2010-05-01,6.22
2010-06-01,6.26
2010-07-01,7.25
2010-08-01,6.98
2010-09-01,6.01
2010-10-01,1.45
2010-11-01,0.53
2010-12-01,0.49
2011-01-01,0.15
2011-02-01,0.42
2011-03-01,1.68
2011-04-01,2.42
2011-05-01,5.31
2011-06-01,3.43
2011-07-01,4.28
2011-08-01,2.9
2011-09-01,2.92
2011-10-01,1.27
2011-11-01,2.77
2011-12-01,0.08
2012-01-01,0.0
2012-02-01,0.05
2012-03-01,0.39
2012-04-01,6.42
2012-05-01,2.69
2012-06-01,2.4
2012-07-01,8.31
2012-08-01,14.16
2012-09-01,6.99
2012-10-01,1.19
2012-11-01,0.66
2012-12-01,0.42
2013-01-01,0.6
2013-02-01,0.09
2013-03-01,4.08
2013-04-01,6.68
2013-05-01,5.37
2013-06-01,6.94
2013-07-01,8.63
2013-08-01,6.96
2013-09-01,4.9
2013-10-01,5.4
2013-11-01,1.69
2013-12-01,0.03
2014-01-01,0.13
2014-02-01,1.61
2014-03-01,2.18
2014-04-01,3.99
2014-05-01,7.16
2014-06-01,3.61
2014-07-01,6.78
2014-08-01,6.57
2014-09-01,6.68
2014-10-01,4.92
2014-11-01,1.35
2014-12-01,1.11
2015-01-01,0.24
2015-02-01,0.34
2015-03-01,1.11
2015-04-01,1.52
2015-05-01,4.43
2015-06-01,5.4
2015-07-01,4.05
2015-08-01,5.15
2015-09-01,2.31
