region,year,belg_total_mm,belg_antecedent_anom_z
benishangul_gumz,2001,139.1331,-0.5163
benishangul_gumz,2002,83.7267,-1.8877
benishangul_gumz,2003,97.0921,-1.5569
benishangul_gumz,2004,145.5237,-0.3581
benishangul_gumz,2005,148.4794,-0.2849
benishangul_gumz,2006,157.7381,-0.0558
benishangul_gumz,2007,155.3239,-0.1155
benishangul_gumz,2008,233.7798,1.8264
benishangul_gumz,2009,123.5819,-0.9012
benishangul_gumz,2010,138.0174,-0.5439
benishangul_gumz,2011,139.0273,-0.5189
benishangul_gumz,2012,153.5754,-0.1588
benishangul_gumz,2013,136.545,-0.5803
benishangul_gumz,2014,223.359,1.5685
benishangul_gumz,2015,152.072,-0.196
benishangul_gumz,2016,241.5475,2.0187
benishangul_gumz,2017,174.3252,0.3548
benishangul_gumz,2018,173.7494,0.3405
benishangul_gumz,2019,119.7331,-0.9964
benishangul_gumz,2020,143.4499,-0.4094
benishangul_gumz,2021,169.1379,0.2264
benishangul_gumz,2022,100.1994,-1.4799
benishangul_gumz,2023,103.2424,-1.4046
dire_dawa,1981,367.4192,1.8687
dire_dawa,1982,242.4727,0.3027
dire_dawa,1983,309.0337,1.1369
dire_dawa,1984,108.1729,-1.3805
dire_dawa,1985,329.8704,1.3981
dire_dawa,1986,242.0822,0.2978
dire_dawa,1987,360.537,1.7824
dire_dawa,1988,146.4836,-0.9003
dire_dawa,1989,322.1639,1.3015
dire_dawa,1990,256.9412,0.484
dire_dawa,1991,234.8764,0.2075
dire_dawa,1992,162.841,-0.6953
dire_dawa,1993,258.8786,0.5083
dire_dawa,1994,177.7829,-0.508
dire_dawa,1995,301.1222,1.0378
dire_dawa,1996,358.6238,1.7584
dire_dawa,1997,247.5918,0.3669
dire_dawa,1998,212.4929,-0.073
dire_dawa,1999,117.255,-1.2666
dire_dawa,2000,135.9132,-1.0328
dire_dawa,2001,230.5187,0.1529
dire_dawa,2002,198.5536,-0.2477
dire_dawa,2003,160.7386,-0.7217
dire_dawa,2004,226.4086,0.1014
dire_dawa,2005,277.416,0.7406
dire_dawa,2006,330.0951,1.4009
dire_dawa,2007,184.2617,-0.4268
dire_dawa,2008,149.1448,-0.867
dire_dawa,2009,177.0831,-0.5168
dire_dawa,2010,426.2579,2.6061
dire_dawa,2011,117.1822,-1.2676
dire_dawa,2012,140.006,-0.9815
dire_dawa,2013,251.3489,0.4139
dire_dawa,2014,238.2088,0.2493
dire_dawa,2015,94.2154,-1.5554
dire_dawa,2016,354.297,1.7042
dire_dawa,2017,181.2026,-0.4652
dire_dawa,2018,247.7376,0.3687
dire_dawa,2019,125.6383,-1.1616
dire_dawa,2020,231.9066,0.1703
